Match,Odds win,Amount,WL,Date
TL vs 100T,1.66,20,L,17/01/21
C9 + TL,1.45,21,W,17/01/21
S04 vs VIT,1.3,20,W,22/01/21
G2 vs MAD,1.72,12,W,22/01/21
G2 + RGE + FNC + C9 + 100T,3.18,10,L,22/01/21
C9 + 100T + TL,2.2,10,W,22/01/21
RGE + 100T + C9,5.8,10,L,23/01/21
EG + TL + RGE + G2,2.0,20,W,24/01/21
MAD + S04 + FNC,3.61,5,W,29/01/21
G2 + RGE + FNC,2.04,50,W,29/01/21
C9 + TL,2.75,10,W,30/01/21
FNC + RGE + TL,3.33,10,W,30/01/21
MSF + RGE + G2 + TL,3.47,20,L,30/01/21
RGE + G2 + TL,2.54,20,L,30/01/21
DK/SWE,1.04,50,W,31/01/21
